Library,Issue link,id,Buggy API,Bug Type,Release,Created Time,Agreement(round 2),Description,
pytorch,https://github.com/pytorch/pytorch/issues/80606,1,torch.half,inconsistent result,1.12.0,2022-06-30T14:09:46Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/68946,1,torch.histc,inconsistent result,1.7.0,2021-11-26T19:11:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/69519,1,torch.histogram,Feature Request,1.10.0,2021-12-07T09:06:54Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/72053,1,torch.index_put,INTERNAL ASSERT FAILED,1.10.1,2022-01-31T08:36:29Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71084,1,torch.inverse,error,1.10.1,2022-01-10T08:38:16Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71919,1,torch.jit.export,RuntimeError,1.10.1,2022-01-27T16:12:51Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/50943,1,torch.jit.export_opnames,RuntimeError,1.8.0,2021-01-22T13:03:06Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/64957,1,torch.jit.freeze,INTERNAL ASSERT FAILED,1.9.0,2021-09-13T22:22:57Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73608,1,torch.jit.load,RuntimeError,1.10.0,2022-03-01T23:09:45Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/47753,1,torch.jit.load,inconsistent result,1.7.0,2020-11-11T15:09:41Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/58845,1,torch.jit.load,AttributeError,1.8.1,2021-05-24T12:16:10Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75171,1,torch.jit.load,RuntimeError,1.8.2,2022-04-04T04:31:55Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73072,1,torch.jit.load,RuntimeError,0.11.2,2022-02-18T10:13:12Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/51275,1,torch.jit.load,RuntimeError,1.7.1,2021-01-28T08:58:45Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/64896,1,torch.jit.load,inconsistent result,1,2021-09-12T14:44:47Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/60143,1,torch.jit.save,RuntimeError,1.7.1,2021-06-17T01:17:19Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/72617,1,torch.jit.script,INTERNAL ASSERT FAILED,1.10.0,2022-02-09T21:06:39Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/58907,1,torch.jit.script,JIT fails,1.9.0,2021-05-25T08:54:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/72029,1,torch.jit.script,RuntimeError,1.10.0,2022-01-29T00:48:44Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/53878,1,torch.jit.script,RuntimeError,1.8.0,2021-03-12T05:49:22Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/64628,1,torch.jit.script,RuntimeError,1.9,2021-09-08T06:40:30Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/69972,1,torch.jit.script,RuntimeError,1.11.0,2021-12-15T13:16:02Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70223,1,torch.jit.script,RuntimeError,1.10.1,2021-12-21T04:47:14Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70573,1,torch.jit.script,TypeError,1.10.1,2022-01-03T09:48:23Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/57717,1,torch.jit.script,RuntimeError,1.7.0,2021-05-06T09:22:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/51055,1,torch.jit.script,hang,1.8.0,2021-01-25T22:04:09Z,,,Shangen
pytorch,https://github.com/pytorch/pytorch/issues/78805,1,torch.jit.script,Segmentation fault,"1.10, 1.11",2022-06-03T13:43:05Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/49764,1,torch.jit.script,RuntimeError,1.8,2020-12-22T22:55:42Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/69938,1,torch.jit.script,RuntimeError,1.10.0,2021-12-14T22:34:53Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70102,1,torch.jit.script,Segmentation fault,1.11.0,2021-12-17T11:47:32Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/63145,1,torch.jit.trace,RuntimeError,1.9.0,2021-08-12T11:50:10Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/54638,1,torch.jit.trace,RuntimeError,1.7.1,2021-03-25T00:03:12Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/65611,1,torch.jit.trace,RuntimeError,1.9.1,2021-09-24T14:01:41Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/55905,1,torch.jit.trace,INTERNAL ASSERT FAILED,1.9.0,2021-04-13T14:18:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/68968,1,torch.jit.trace,RuntimeError,1.8.1,2021-11-29T02:07:56Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/58109,1,torch.jit.trace,memory leak,1.8.1,2021-05-12T02:03:52Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70511,1,torch.jit.trace,RuntimeError,1.10.1,2021-12-30T02:55:26Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/66476,1,torch.jit.trace,RuntimeError,1.9.1,2021-10-12T11:24:24Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/59530,1,torch.jit.trace,RuntimeError,1.8.1,2021-06-07T02:23:23Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/63124,1,torch.jit.trace,INTERNAL ASSERT FAILED,1.9.0,2021-08-12T00:44:32Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/67834,1,torch.jit.trace,RuntimeError,1.10.0,2021-11-04T09:56:22Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/72746,1,torch.jit.trace_module,performance bug,1.10.0,2022-02-11T21:33:48Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/54135,1,torch.kron,RuntimeError,1.8.0,2021-03-17T09:35:10Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74442,1,torch.kron,RuntimeError,1.9.0,2022-03-20T22:17:05Z,0,api: torch.kron,
pytorch,https://github.com/pytorch/pytorch/issues/76785,1,torch.l1_loss,backward fail,1.11.0,2022-05-04T02:31:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/66707,1,torch.layer_norm,AssertionError,1.9.1,2021-10-15T18:30:53Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70391,1,torch.linalg.lstsq,INTERNAL ASSERT FAILED,1.11.0,2021-12-24T13:28:38Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75549,1,torch.linalg.lstsq,INTERNAL ASSERT FAILED,1.10.1,2022-04-09T01:52:41Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71222,1,torch.linalg.lstsq,inconsistent result,1.10.0,2022-01-12T17:16:23Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/65815,1,torch.linalg.norm,OverflowError,1.9.0,2021-09-29T12:49:03Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77527,1,torch.linalg.solve,illegal memory acces,1.11.0,2022-05-16T08:24:55Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/68291,1,torch.linalg.svd,RuntimeError,1.10.0,2021-11-12T22:38:26Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/55777,1,torch.load,performance bug,1.7.1,2021-04-12T08:52:13Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/58671,1,torch.load,EOFError,1.8.0,2021-05-20T15:13:47Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/53708,1,torch.load,crash,1.3.1,2021-03-10T13:23:48Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/65653,1,torch.load,RuntimeError,1.9.1,2021-09-25T10:43:30Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74301,1,torch.lobpcg,TypeError,1.10.0,2022-03-16T15:11:14Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70669,1,torch.logdet,RuntimeError, 1.10.1,2022-01-05T09:15:56Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/56747,1,torch.matmul,RuntimeError,1.8.1,2021-04-22T23:17:56Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78141,1,torch.matmul,check failure,1.11.0,2022-05-24T00:44:42Z,,,
